word,start_time,end_time
Little,0.149,0.429
"lamb,",0.489,0.93
whom,1.23,1.41
made,1.49,1.77
"thee,",1.83,2.131
dost,2.771,3.071
thou,3.272,3.592
know,3.712,3.972
who,4.072,4.252
made,4.332,4.593
thee?,4.673,4.933
Gave,5.854,6.154
thee,6.234,6.454
"life,",6.574,6.934
and,7.055,7.175
bid,7.295,7.515
thee,7.555,7.755
"feed,",7.915,8.316
by,9.036,9.196
this,9.216,9.416
dream,9.456,9.777
and,9.877,10.037
o'er,10.197,10.317
thy,10.377,10.517
mead.,10.597,10.878
Gave,11.918,12.239
thee,12.319,12.519
clothing,12.659,13.28
of,13.4,13.52
"delight,",13.56,14.14
softest,14.941,15.481
"clothing,",15.601,16.262
wooly,16.402,16.762
bright.,16.842,17.263
Gave,18.063,18.344
thee,18.404,18.624
such,18.724,19.044
a,19.104,19.144
tender,19.264,19.665
"voice,",19.745,20.145
making,20.946,21.266
all,21.526,21.666
the,21.726,21.886
bales,21.986,22.347
rejoice.,22.427,23.007
Little,24.088,24.308
"lamb,",24.388,24.789
who,24.949,25.149
mate,25.249,25.889
thee?,25.909,25.989
Dost,26.69,26.93
thou,27.09,27.37
know,27.49,27.771
who,28.051,28.231
mate,28.311,28.571
thee?,28.631,28.871
Little,28.891,30.052
"lamb,",30.132,30.552
I'll,30.953,31.173
tell,31.253,31.533
thee.,31.593,31.793
Little,31.813,33.134
"lamb,",33.234,33.574
I'll,34.035,34.275
tell,34.415,34.715
thee.,34.795,35.035
He,35.055,35.095
is,36.396,36.516
called,36.656,37.177
by,37.257,37.437
thy,37.497,37.737
"name,",37.797,38.097
for,38.978,39.158
he,39.258,39.438
calls,39.598,40.019
himself,40.079,40.659
a,40.679,40.699
lamb.,40.879,41.18
He,42.06,42.22
is,42.32,42.46
meek,42.62,42.981
and,43.181,43.301
he,43.381,43.621
is,43.661,43.781
mild.,43.921,44.322
He,45.082,45.182
became,45.242,45.803
a,45.823,45.843
little,46.203,46.483
child.,46.563,47.023
I,48.244,48.364
a,48.384,48.404
child,48.745,49.205
and,49.365,49.465
thou,49.545,49.865
a,49.985,50.025
lamb.,50.085,50.426
We,51.266,51.386
are,51.446,51.546
called,51.627,52.167
by,52.347,52.547
his,52.587,52.767
name.,52.907,53.108
Little,54.289,54.57
"Lamb,",54.59,54.951
God,55.252,55.533
bless,55.693,56.014
thee!,56.135,56.436
Little,57.539,57.82
"Lamb,",57.86,58.221
God,58.622,58.943
bless,59.124,59.465
thee!,59.565,59.766
