word,start_time,end_time
Top,0.928,1.148
"dog,",1.288,1.488
bottom,1.569,1.869
"all,",1.889,2.129
yeah,2.169,2.609
I'm,2.669,2.929
burnin',2.949,3.65
it,3.79,3.87
up,4.11,4.21
"D.P.,",4.25,4.33
"G.C.,",4.37,4.43
go,4.45,4.59
ahead,4.61,4.77
and,4.81,4.891
turn,4.911,5.051
it,5.131,5.211
on,5.271,5.411
up,5.471,5.591
"D.P.T.,",5.751,6.031
"L.B.C.,",6.051,6.211
yeah,6.231,6.832
we,6.852,7.032
hookin',7.072,7.672
back,7.692,7.832
up,7.932,8.052
And,8.233,8.333
when,8.353,8.473
they,8.493,8.613
bang,8.633,8.773
this,8.813,8.913
in,8.993,9.073
the,9.093,9.193
"club,",9.233,9.373
"baby,",9.393,9.693
you,9.713,9.833
got,9.854,10.014
to,10.034,10.134
get,10.174,10.354
up,10.434,10.574
Thug,10.774,11.034
"homie,",11.134,11.394
drug,11.414,11.655
"homies,",11.715,11.975
yeah,12.015,12.175
they,12.195,12.315
givin',12.355,12.635
it,12.735,12.835
up,12.915,13.015
Low,13.356,13.556
"life,",13.636,13.856
yo,13.896,14.116
"life,",14.236,14.456
boy,14.496,14.636
we,14.656,14.796
givin',14.837,15.097
it,15.197,15.317
up,15.377,15.517
Take,15.737,15.877
a,15.957,16.017
chance,16.037,16.197
and,16.277,16.357
while,16.377,16.518
we,16.538,16.618
dancin',16.658,16.978
in,17.018,17.098
the,17.118,17.238
party,17.278,17.438
for,17.498,17.658
sure,17.718,17.858
She,17.878,17.938
said,18.199,18.379
my,18.459,18.539
girl,18.559,18.699
about,18.759,19.099
44,0.0,0.0
and,19.179,19.259
she's,19.279,19.399
reppin',19.419,19.88
the,19.9,20.02
fact,20.06,20.24
that,20.28,20.38
all,20.42,20.48
these,20.5,20.64
chickens,20.68,20.96
lookin',21.0,21.26
at,21.34,21.42
me,21.44,21.561
"strange,",21.581,21.901
but,21.921,22.081
you,22.101,22.201
know,22.221,22.361
I,22.441,22.521
don't,22.541,22.661
care,22.681,22.921
Step,23.142,23.302
up,23.362,23.442
in,23.522,23.582
this,23.602,23.722
"motha,",23.762,24.062
just,24.382,24.542
a,24.602,24.682
swing,24.702,24.883
in,24.943,25.043
my,25.063,25.303
hair,25.343,25.483
"Trick,",25.663,25.903
quit,25.923,26.123
"talkin',",26.143,26.484
rip,26.544,26.704
off,26.764,26.864
if,26.944,27.004
you,27.024,27.144
down,27.184,27.344
with,27.364,27.524
the,27.644,27.864
shit,28.104,28.265
Take,28.285,28.405
a,28.485,28.565
bullet,28.585,28.845
for,28.865,28.985
"some,",29.005,29.125
and,29.225,29.325
take,29.345,29.485
this,29.505,29.625
off,29.725,29.846
on,29.866,29.966
the,29.986,30.046
jet,30.126,30.346
And,30.966,31.787
if,31.867,31.948
you,32.028,32.568
happen,32.668,33.049
to,33.069,33.169
get,33.189,33.329
"cracked,",33.369,34.27
check,34.611,34.831
your,34.851,35.051
track.,35.071,35.552
Come,35.592,35.852
"back,",35.872,36.132
get,36.172,36.353
"back,",36.433,36.673
that's,36.733,36.893
the,36.933,37.053
part,37.073,37.334
of,37.434,37.514
success.,37.534,37.814
If,37.914,37.995
you,38.015,38.155
believe,38.175,38.375
in,38.395,38.455
the,38.475,38.615
"ass,",38.916,39.036
you'll,39.056,39.216
be,39.236,39.376
relieving,39.456,40.077
your,40.177,40.718
stress.,40.738,40.918
