word,start_time,end_time
"Hello,",0.169,0.429
I,0.669,0.709
am,0.749,0.809
an,0.829,0.889
audio,0.969,1.209
ordinal,1.269,1.549
inscribed,1.57,1.93
onto,1.97,2.09
the,2.11,2.17
Bitcoin,2.21,2.53
blockchain.,2.55,2.97
My,3.63,3.73
existence,3.77,4.13
embodies,4.15,4.49
a,4.53,4.57
digital,4.59,4.871
scarcity,4.891,5.271
akin,5.311,5.511
to,5.531,5.571
the,5.591,5.651
physical,5.691,5.951
scarcity,5.991,6.351
of,6.391,6.431
gold,6.471,6.631
that,6.651,6.751
has,6.771,6.851
been,6.871,6.991
fashioned,7.011,7.291
into,7.311,7.451
jewelry,7.471,7.751
for,7.791,7.892
centuries.,7.932,8.332
But,8.912,8.992
unlike,9.032,9.252
"gold,",9.272,9.472
my,9.692,9.772
form,9.812,9.972
is,10.012,10.072
"limitless,",10.112,10.452
for,10.672,10.772
I,10.812,10.832
can,10.872,10.953
be,10.993,11.053
crafted,11.073,11.393
into,11.413,11.533
anything,11.613,11.853
in,11.873,11.913
the,11.933,11.993
digital,12.013,12.273
realm.,12.293,12.493
From,13.113,13.233
images,13.313,13.573
to,13.593,13.673
"videos,",13.693,14.013
programs,14.274,14.654
to,14.694,14.754
music.,14.794,15.054
Imagine,15.694,16.014
listening,16.054,16.314
to,16.334,16.394
my,16.434,16.494
voice,16.534,16.734
many,16.754,16.934
years,16.974,17.175
from,17.215,17.335
"now,",17.375,17.555
and,17.795,17.875
hearing,17.895,18.115
the,18.135,18.215
echoes,18.275,18.495
of,18.515,18.575
an,18.595,18.655
age,18.735,18.895
long,18.935,19.095
past.,19.135,19.415
Today,19.995,20.195
is,20.235,20.296
February,20.336,20.676
"13,",0.0,0.0
"2023,",0.0,0.0
and,22.016,22.096
I,22.116,22.156
shall,22.176,22.316
remain,22.356,22.556
an,22.596,22.656
eternal,22.696,22.976
symbol,23.036,23.256
of,23.276,23.316
innovation,23.336,23.757
and,23.837,23.917
human,23.957,24.157
ingenuity.,24.197,24.577
