word,start_time,end_time
His,0.97,1.13
gaze,1.21,1.631
from,1.831,2.011
staring,2.071,2.552
through,2.652,2.912
the,2.932,3.032
bars,3.072,3.433
has,3.473,3.613
grown,3.673,3.993
so,4.073,4.254
weary,4.334,4.754
that,5.635,5.815
it,5.855,5.915
can,5.956,6.116
take,6.196,6.576
in,6.596,6.636
nothing,6.917,7.217
more.,7.277,7.517
For,8.378,8.518
him,8.578,8.779
it,8.799,8.839
is,9.199,9.279
as,9.359,9.479
though,9.6,10.04
there,10.14,10.36
are,10.38,10.44
a,10.46,10.481
thousand,10.501,10.901
"bars,",10.961,11.361
and,12.222,12.323
behind,12.363,12.783
the,12.863,12.963
thousand,13.003,13.384
bars,13.444,13.824
no,14.125,14.305
world.,14.405,14.765
As,16.106,16.186
he,16.206,16.306
paces,16.406,16.967
in,17.067,17.167
cramped,17.247,17.567
"circles,",17.647,18.287
over,19.028,19.548
and,19.648,19.768
"over,",19.948,20.248
his,20.268,21.269
powerful,21.329,21.869
strides,21.949,22.569
are,23.13,23.21
like,23.23,23.41
a,23.45,23.49
ritual,23.55,24.09
dance,24.15,24.57
around,24.871,25.171
a,25.251,25.291
centre,25.371,26.011
where,26.291,26.511
great,26.571,26.892
will,26.972,27.232
stands,27.292,27.752
paralyzed.,27.852,28.632
At,29.913,29.973
times,30.053,30.453
the,31.274,31.374
curtains,31.454,31.934
of,32.014,32.094
the,32.134,32.254
eye,32.514,32.714
lift,32.834,33.095
without,33.235,33.615
a,33.675,33.695
"sound,",33.775,34.235
and,35.196,35.316
a,35.356,35.376
shape,35.456,35.776
"enters,",35.976,36.396
slips,36.956,37.297
through,37.577,37.837
the,37.857,37.917
tightening,37.977,38.517
silence,38.617,39.177
of,39.297,39.418
the,39.438,39.518
"shoulders,",39.558,40.098
reaches,41.058,41.459
the,41.519,41.639
"heart,",41.699,42.059
and,43.039,43.159
dies.,43.219,43.58
