word,start_time,end_time
it,0.0,0.632
follows,0.632,1.264
from,1.265,1.897
the,1.897,2.529
special,2.53,3.162
theory,3.162,3.794
of,3.794,4.426
relativity,4.427,5.059
did,5.059,5.691
math,5.692,6.324
and,6.324,6.956
energy,6.956,7.588
are,7.589,8.221
food,8.221,8.853
are,8.854,9.486
practicing,9.486,10.118
manifestation,10.119,10.751
of,10.751,11.383
the,11.383,12.015
same,12.016,12.648
thing,12.648,13.28
that,13.281,13.913
unfamiliar,13.913,14.545
conception,14.545,15.177
for,15.178,15.81
the,15.81,16.442
average,16.443,17.075
man,17.075,17.707
7,17.707,18.339
more,18.34,18.972
the,18.972,19.604
equation,19.605,20.237
E,20.237,20.869
=,20.869,21.501
MC2,21.502,22.134
in,22.134,22.766
which,22.767,23.399
energy,23.399,24.031
is,24.031,24.663
equal,24.664,25.296
to,25.296,25.928
mass,25.929,26.561
multiplied,26.561,27.193
with,27.193,27.825
the,27.826,28.458
square,28.458,29.09
of,29.091,29.723
the,29.723,30.355
velocity,30.356,30.988
of,30.988,31.62
Life,31.62,32.252
short,32.253,32.885
that,32.885,33.517
very,33.518,34.15
small,34.15,34.782
amount,34.782,35.414
of,35.415,36.047
mass,36.047,36.679
may,36.68,37.312
be,37.312,37.944
converted,37.944,38.576
into,38.577,39.209
a,39.209,39.841
very,39.842,40.474
large,40.474,41.106
amount,41.106,41.738
of,41.739,42.371
energy,42.371,43.003
and,43.004,43.636
reserve,43.636,44.268
the,44.268,44.9
mass,44.901,45.533
is,45.533,46.165
energy,46.166,46.798
where,46.798,47.43
in,47.431,48.063
fact,48.063,48.695
experience,48.695,49.327
accommodating,49.328,49.96
to,49.96,50.592
the,50.593,51.225
formula,51.225,51.857
mentioned,51.857,52.489
by,52.49,53.122
1932,53.122,53.754
experiment,53.755,54.387
