word,start_time,end_time
A,1.97,2.01
digital,2.09,2.531
currency,2.611,3.211
in,4.652,4.712
which,4.772,4.972
transactions,5.072,5.973
can,6.093,6.253
be,6.293,6.413
performed,6.453,6.973
without,7.294,7.654
the,7.734,7.834
need,7.874,8.194
for,8.294,8.474
a,8.534,8.554
central,8.654,9.075
bank.,9.135,9.475
"Alright,",10.035,10.275
"Jared,",10.315,10.636
we,10.676,10.776
come,10.816,10.976
to,10.996,11.076
you.,11.096,11.316
What,11.476,11.696
is,11.796,11.957
Ripple?,12.077,12.477
aerosol,42.59,43.392
to,43.432,43.573
find,43.633,44.094
sound,44.134,44.455
money,44.555,44.836
has,44.876,45.257
been,45.378,45.598
"Divisible,",51.084,51.844
"scarce,",52.545,53.065
recognizable,53.906,54.747
and,55.047,55.408
fungible,55.468,56.008
sound.,56.048,56.368
"Money,",56.428,57.049
"money,",57.85,58.33
"money,",58.59,59.051
"money,",59.351,59.772
"money,",60.092,60.432
"money,",60.492,61.393
"money,",61.573,62.014
money.,62.114,62.734
Why,63.395,63.855
don't,63.915,64.216
you,64.276,64.476
tell,64.556,64.776
me,64.796,64.896
what,64.976,65.176
you,65.257,65.417
know,65.457,65.777
about,65.797,66.318
Bitcoin,66.358,66.878
as,66.978,67.038
a,67.118,67.278
jumping,67.298,67.779
off,67.999,68.099
point.,68.139,68.86
"Okay,",69.04,69.5
sure.,69.621,70.461
"Yo,",70.762,71.282
check,72.243,72.483
it.,72.503,72.723
"Yo,",73.064,73.404
fuck,73.824,74.005
cash,74.065,74.425
currency.,74.465,75.005
Cuddies,75.046,75.346
pay,75.406,75.606
me,75.626,75.726
in,75.806,75.886
crypto,75.906,76.327
currency.,76.387,76.647
100,0.0,0.0
miles,86.119,86.359
an,86.439,86.52
hour,86.58,86.76
as,86.94,87.12
we,87.16,87.3
cruise,87.34,87.6
down,87.64,87.841
the,87.881,88.041
silk,88.081,88.261
road,88.361,88.801
Blowing,88.861,89.702
OG,89.782,89.882
off,89.942,90.042
the,90.102,90.263
"whip,",90.303,90.543
trying,90.583,90.803
to,90.823,90.923
pull,90.983,91.223
hoes,91.263,91.704
I,91.904,91.984
dream,92.024,92.244
of,92.304,92.384
"empires,",92.504,93.145
trying,93.165,93.405
to,93.445,93.625
stack,93.685,94.146
guap,94.206,94.506
Like,94.546,94.726
niggas,94.766,95.066
who,95.106,95.167
work,95.227,95.487
on,95.567,95.647
Wall,95.707,95.947
"Street,",96.027,96.347
so,96.388,96.528
I'm,96.588,96.748
chasing,96.768,97.188
buyers,97.228,97.649
Log,98.289,98.669
"in,",98.709,98.789
there's,98.809,98.99
plenty,99.01,99.29
of,99.37,99.45
users,99.55,99.89
and,100.151,100.251
consumers,100.271,100.851
Getting,101.071,101.412
"higher,",101.552,101.912
"bitch,",101.972,102.212
off,102.292,102.452
of,102.532,102.733
they,102.773,102.893
computer,102.913,103.453
Ain't,103.533,103.753
nothing,103.773,104.034
"new,",104.074,104.174
this,104.254,104.414
info,104.514,104.734
ain't,104.854,104.974
for,105.035,105.175
"everybody,",105.255,105.895
yo,105.935,106.276
Use,106.356,106.496
it,106.576,106.656
to,106.696,106.876
your,106.916,107.036
"advantage,",107.096,107.557
it,107.617,107.677
take,107.697,108.117
over,108.137,108.257
your,108.277,108.397
"body,",108.477,108.818
yo,108.858,109.038
Magic,109.158,109.598
"mushrooms,",109.638,110.159
I,110.239,110.319
had,110.359,110.499
them,110.519,110.619
eating,110.739,110.979
them,111.019,111.159
like,111.2,111.36
Mario,111.42,112.0
Blockchain,112.24,112.881
"heavy,",112.921,113.221
got,113.261,113.441
it,113.461,113.521
clicking,113.581,113.962
with,114.002,114.162
the,114.182,114.302
molly,114.382,114.722
flow,114.842,115.103
the,116.07,116.21
niggas,116.23,116.531
gotta,116.571,117.492
know,118.733,120.295
it,120.875,120.955
was,120.995,121.155
founded,121.235,121.556
by,121.636,122.056
a,122.317,122.357
japanese,122.397,122.897
guy,122.957,123.358
or,126.481,126.621
guys,126.641,127.162
or,127.422,127.562
girls,127.642,128.043
going,128.143,128.343
by,128.383,128.463
the,128.503,128.563
name,128.583,128.723
satoshi,128.743,129.384
nakamoto,129.424,130.125
in,130.145,130.445
2008,0.0,0.0
true,130.505,130.825
identity,130.845,133.368
still,133.388,133.648
unknown,133.728,134.029
