word,start_time,end_time
In,0.45,1.271
"1858,",0.0,0.0
there,1.311,2.111
have,2.912,3.433
"come,",3.513,3.853
with,3.953,4.173
incredible,4.253,4.854
"rapidity,",5.014,5.674
one,6.315,6.435
electrical,6.495,7.015
arc,7.236,7.436
after,7.676,7.936
"another,",8.016,8.337
so,8.977,9.237
that,9.297,9.478
in,9.578,9.658
all,9.798,9.918
"practical,",10.058,10.618
so,11.539,11.719
that,11.759,11.94
it,12.0,12.1
practically,12.14,12.64
ever,12.72,13.02
respects,13.06,13.561
"civilization,",13.661,14.502
has,14.602,14.822
been,14.882,15.102
revolutionized.,15.482,16.323
It,17.264,17.344
is,17.404,17.504
still,17.564,17.964
too,18.065,18.225
early,18.325,18.605
to,18.645,18.745
stand,18.825,19.226
outside,19.326,19.846
these,19.906,20.106
events,20.186,20.547
and,21.187,21.307
pronounce,21.407,21.928
final,22.088,22.468
judgments,22.548,23.009
on,23.269,23.349
their,23.389,23.569
lasting,23.649,24.15
value.,24.23,24.49
