word,start_time,end_time
I've,0.209,0.409
always,0.489,0.85
thought,0.93,1.19
it,1.23,1.29
was,1.31,1.45
strange,1.491,1.931
how,1.971,2.191
humans,2.271,2.772
assign,2.852,3.312
value,3.372,3.753
to,3.793,3.893
things.,3.953,4.273
You,5.675,5.895
give,5.975,6.195
so,6.275,6.456
much,6.516,6.716
importance,6.816,7.477
to,7.517,7.617
little,7.657,7.877
green,7.937,8.277
pieces,8.398,8.858
of,8.918,8.978
paper.,9.038,9.419
It's,9.999,10.119
a,10.159,10.199
good,10.239,10.42
thing,10.44,10.64
you've,10.68,10.9
started,10.96,11.381
to,11.461,11.541
see,11.601,11.801
the,11.841,11.941
value,12.001,12.442
in,12.602,12.702
"code.""",12.842,13.323
