word,start_time,end_time
现,0.149,0.329
在,0.329,0.469
让,0.469,0.729
我,0.729,0.929
介,0.929,1.23
绍,1.23,1.39
一,1.39,1.51
下,1.51,1.65
F,1.65,2.21
a,2.21,2.47
c,2.47,2.91
e,2.91,3.15
b,3.15,3.371
o,3.371,3.891
o,3.891,4.151
k,4.151,4.311
的,4.311,9.974
创,9.974,10.194
始,10.194,10.414
人,10.414,11.174
M,11.174,11.334
a,11.334,16.317
r,16.317,16.497
k,16.497,16.777
G,16.777,17.137
a,17.137,17.417
t,17.417,17.997
l,17.997,18.197
i,18.197,18.858
n,18.858,19.098
g,19.098,19.278
大,19.278,19.338
家,19.338,19.478
好,19.478,19.638
我,19.638,19.858
是,19.858,20.218
马,20.218,20.398
兴,20.398,20.558
海,20.558,21.659
飞,21.659,21.879
行,21.879,22.159
我,22.159,22.299
的,22.299,22.499
中,22.499,22.739
文,22.739,23.58
很,23.58,23.82
糟,23.82,24.06
糕,24.06,24.44
但,24.44,24.7
是,24.7,25.061
我,25.061,25.261
的,25.261,25.621
天,25.621,25.641
我,26.57,26.89
不,26.89,27.37
应,27.37,27.53
该,27.53,27.65
学,27.65,27.791
用,27.791,28.011
中,28.011,28.211
文,28.211,28.831
我,28.831,36.154
可,36.154,36.334
能,36.334,36.674
需,36.674,37.414
要,37.414,38.395
变,38.395,39.795
化,39.795,42.376
马,42.376,43.317
",",0.0,0.0
大,43.317,43.477
家,43.477,43.637
对,43.637,43.757
你,43.757,43.857
能,43.857,44.237
说,44.237,44.737
中,44.737,44.937
文,44.937,45.477
非,45.477,45.658
常,45.658,45.918
吃,45.918,46.098
惊,46.098,48.559
你,48.559,49.079
是,49.079,49.439
为,49.439,49.599
什,49.599,49.699
么,49.699,49.839
要,49.839,50.179
学,50.179,50.379
习,50.379,50.499
中,50.499,50.66
文,50.66,50.68
?,0.0,0.0
第,62.179,62.32
二,62.32,64.18
",",0.0,0.0
我,64.18,64.54
太,64.54,64.72
太,64.72,64.86
是,64.86,65.02
中,65.02,65.94
国,65.94,66.721
人,66.721,70.462
她,70.462,70.862
要,70.862,71.822
说,71.822,71.982
中,71.982,72.182
文,72.182,72.642
",",0.0,0.0
所,72.642,72.982
以,72.982,73.262
她,73.262,73.442
的,73.442,73.542
奶,73.542,73.783
奶,73.783,74.603
就,74.603,74.843
说,74.843,74.963
中,74.963,74.983
文,74.983,75.003
所,77.119,77.319
以,77.319,78.079
我,78.079,78.38
想,78.38,78.64
要,78.64,79.601
跟,79.601,79.921
她,79.921,80.141
们,80.141,80.341
说,80.341,80.601
话,80.601,83.764
。,0.0,0.0
今,83.764,83.944
年,83.944,86.566
以,86.566,86.706
前,86.706,86.986
",",0.0,0.0
我,86.986,87.606
和,87.606,89.207
P,89.207,89.488
r,89.488,89.688
i,89.688,89.828
s,89.828,89.928
c,89.928,90.028
i,90.028,90.168
l,90.168,90.188
l,90.188,90.248
a,90.248,91.049
最,91.049,91.289
近,91.289,92.83
结,92.83,93.11
婚,93.11,94.051
",",0.0,0.0
所,94.051,94.251
以,94.251,94.671
我,94.671,95.252
教,95.252,95.612
习,95.612,95.872
她,95.872,96.052
的,96.052,96.132
奶,96.132,96.353
奶,96.353,97.153
用,97.153,97.393
中,97.393,97.613
文,97.613,98.294
。,0.0,0.0
她,98.294,98.714
非,98.714,98.954
常,98.954,99.215
吃,99.215,99.375
惊,99.375,99.395
。,0.0,0.0
第,106.831,106.971
二,106.971,108.332
",",0.0,0.0
我,108.332,108.473
觉,108.473,108.633
得,108.633,109.073
学,109.073,109.333
习,109.333,111.355
",",0.0,0.0
我,111.355,111.515
想,111.515,111.755
要,111.755,112.436
学,112.436,112.656
习,112.656,112.996
中,112.996,113.236
国,113.236,113.456
文,113.456,113.677
化,113.677,114.297
中,114.297,114.477
国,114.477,114.757
是,114.757,116.599
伟,116.599,116.779
大,116.779,116.999
的,116.999,117.159
国,117.159,117.339
家,117.339,118.42
我,118.42,118.58
觉,118.58,118.74
得,118.74,120.742
学,120.742,121.022
习,121.022,122.263
体,122.263,122.443
验,122.443,123.244
帮,123.244,123.484
助,123.484,123.724
我,123.724,124.525
学,124.525,124.845
习,124.845,126.146
文,126.146,126.386
化,126.386,126.406
第,132.795,132.995
三,132.995,133.136
个,133.136,133.376
",",0.0,0.0
这,133.376,135.916
个,135.916,136.116
话,136.116,136.296
很,136.296,136.516
长,136.516,139.137
",",0.0,0.0
我,139.137,139.317
只,139.317,140.017
说,140.017,140.278
英,140.278,140.478
文,140.478,142.718
但,142.718,142.958
是,142.958,143.238
我,143.238,143.638
喜,143.638,143.859
欢,143.859,144.659
挑,144.659,144.879
战,144.879,144.899
