word,start_time,end_time
Yo!,0.269,0.63
Get,0.75,2.112
that,2.232,3.094
hoodie,3.274,4.376
gang!,4.456,5.117
Let's,5.177,5.798
go!,5.938,6.199
Look,16.583,16.744
at,16.844,16.924
the,16.964,17.124
"numbers,",17.144,17.845
everybody's,17.965,18.766
got,18.786,18.966
their,18.986,19.146
hood,19.187,19.687
"up,",19.787,19.867
you,19.907,20.228
can,20.268,20.408
see,20.428,20.748
my,20.788,20.949
"face,",21.009,21.229
this,21.369,21.569
place,21.629,21.85
is,21.97,22.05
hooded,22.11,22.31
here,22.35,22.45
to,22.49,22.631
stay.,22.791,23.452
Hoodie,23.592,24.132
"gang,",24.152,24.273
hoodie,24.333,24.673
"gang,",24.853,25.013
ran,25.093,25.394
by,25.434,25.614
the,25.634,25.774
people.,25.814,26.155
Hoodie,26.215,26.876
"gang,",26.916,27.256
hoodie,27.316,27.616
"gang,",27.657,27.977
welcome,28.017,28.357
nice,28.377,28.538
to,28.578,28.718
meet,28.738,29.078
you.,29.118,29.379
Hoodie,29.499,30.159
"gang,",30.22,30.58
hoarding,30.6,30.96
hoes,30.98,31.301
all,31.401,31.541
day.,31.641,32.062
What,32.082,32.202
you,32.222,32.382
bring?,32.442,32.783
You,32.823,33.143
got,33.183,33.363
a,33.423,33.503
hoodie?,33.564,34.425
"Well,",34.465,35.005
I,35.105,35.185
can't,35.386,35.706
say,35.746,35.906
the,35.926,36.066
same.,36.107,36.367
So,39.404,39.524
you'll,39.584,39.905
sing,39.945,40.085
up,40.185,40.265
cause,40.305,40.465
I'm,40.585,40.665
not,40.685,40.845
done,40.886,41.086
You,41.106,41.226
can't,41.246,41.446
just,41.466,41.606
go,41.626,41.766
a,41.866,41.946
"minute,",41.987,42.447
you,42.507,42.647
gotta,42.707,43.027
be,43.068,43.228
a,43.328,43.408
minute,43.448,43.808
So,43.908,44.148
come,44.169,44.349
and,44.449,44.529
join,44.549,44.729
the,44.749,44.909
"station,",44.929,45.27
show,45.29,45.45
some,45.49,45.63
"love,",45.67,45.83
I,45.93,46.01
don't,46.03,46.19
want,46.23,46.371
business,46.411,47.051
Hoodie,47.131,47.492
"gang,",47.512,47.812
hoodie,47.892,48.232
"gang,",48.252,48.412
my,48.432,48.532
"brothers,",48.593,49.013
aren't,49.053,49.453
you,49.473,49.533
rockin',49.573,49.894
Hoodie,49.954,50.434
"gang,",50.474,50.795
hoodie,50.855,51.515
"gang,",51.535,51.735
hear,51.795,51.916
you,51.936,52.096
so,52.116,52.256
come,52.496,53.017
rockin',53.057,53.717
"VVV,",53.777,54.118
holdin',54.158,54.478
on,54.618,54.758
all,55.038,55.219
"day,",55.259,55.599
what,55.639,55.759
you,55.799,55.939
waitin'?,55.999,56.34
Got,56.38,56.56
a,56.6,56.7
"hoodie,",56.76,57.06
well,57.1,57.22
I,57.24,57.26
can't,57.28,57.401
stay,57.421,57.601
You,58.441,59.081
don't,59.101,59.601
need,59.641,59.922
no,60.002,60.262
"liquid,",60.402,61.062
you,61.122,61.442
don't,61.482,61.722
need,61.862,62.202
a,62.282,62.382
deposit.,62.402,62.782
I,88.103,88.463
love,88.504,88.684
you.,89.084,89.184
