word,start_time,end_time
the,0.878,0.958
first,0.998,1.198
mp3,1.359,1.66
mft,1.68,2.161
that,2.201,2.281
you've,2.301,2.442
seen,2.462,2.662
on,2.702,2.763
the,2.783,2.863
chain,2.883,3.103
that's,3.124,3.244
the,3.264,3.364
b,3.404,3.625
to,3.645,3.745
the,3.765,3.845
t,3.906,4.126
to,4.146,4.226
the,4.247,4.347
c,4.367,4.607
come,4.868,5.069
with,5.089,5.309
the,5.55,5.751
16,0.0,0.0
bar,5.831,6.091
and,6.111,6.172
the,6.232,6.513
12,0.0,0.0
race,6.593,6.894
e,6.934,7.034
to,7.054,7.134
unlock,7.194,7.495
hella,7.535,7.736
dreams,7.756,7.976
with,8.017,8.117
the,8.137,8.197
key,8.237,8.478
