word,start_time,end_time
I,47.886,47.986
can't,48.326,48.547
help,48.587,48.807
"it,",48.907,49.067
I,49.267,49.307
can't,49.387,49.607
help,50.147,50.288
"it,",50.528,50.748
I,50.948,51.088
can't,51.148,51.348
help,51.428,51.628
"it,",51.648,51.848
I,51.988,52.109
can't,52.189,52.929
help,52.989,53.129
"it,",53.309,53.409
I,53.569,53.689
can't,53.749,54.17
help,54.27,54.43
it,54.57,54.79
It's,113.7,113.8
a,113.82,113.84
quarter,113.86,114.04
life,114.06,114.14
for,114.16,114.401
"me,",114.481,114.541
I'm,114.561,114.821
sleeping,114.881,115.061
between,115.181,115.401
the,115.441,115.542
bed,115.562,115.642
and,115.742,115.822
the,115.902,116.042
bedroom.,116.062,116.202
It's,116.222,116.362
a,116.382,116.422
quarter,116.462,116.823
life,116.863,116.963
for,116.983,117.083
"me,",117.123,117.243
I'm,117.363,117.463
sleeping,117.483,117.663
between,117.683,117.943
the,117.983,118.124
bed,118.164,118.444
and,118.584,118.644
the,118.664,118.724
bedroom.,118.784,119.064
It's,119.144,119.244
a,119.305,119.365
quarter,119.425,119.685
life,119.825,120.025
for,120.065,120.165
"me,",120.185,120.245
I'm,120.265,120.405
sleeping,120.445,120.626
between,120.646,121.026
the,121.086,121.226
bed,121.306,121.486
and,121.586,121.827
the,121.887,122.027
bedroom.,122.107,122.327
It's,122.447,122.527
a,122.547,122.567
quarter,122.607,122.927
life,122.967,123.088
for,123.148,123.248
"me,",123.288,123.348
I'm,123.508,123.608
sleeping,123.628,124.088
between,124.168,124.369
the,124.389,124.489
bed,124.589,124.669
and,124.769,124.829
the,124.849,124.909
bedroom.,124.969,125.389
It's,125.55,125.67
a,125.77,125.89
quarter,125.97,126.17
life,126.25,126.41
for,126.49,126.63
"me,",126.771,126.811
I'm,126.831,126.911
sleeping,126.931,127.151
between,127.251,127.731
the,127.771,127.891
bed,128.032,128.312
and,128.352,128.532
the,128.592,128.672
bedroom.,128.752,129.172
It's,129.193,129.473
a,129.493,129.513
quarter,129.553,129.833
life,129.873,129.973
for,130.073,130.293
"me,",130.353,130.413
I'm,130.434,130.534
sleeping,130.554,130.774
between,130.854,131.094
the,131.154,131.214
bed,131.274,131.334
and,131.354,131.494
the,131.755,131.835
bedroom.,131.895,132.115
This,143.455,143.817
life,143.997,144.379
I,144.479,144.68
do,144.84,144.881
not,144.901,145.122
know,145.202,145.704
"No,",145.764,145.945
"no,",145.965,146.206
"no,",146.366,146.687
"no,",146.788,147.029
no,147.169,147.39
That's,171.961,172.121
my,172.202,172.642
"world,",172.722,173.043
"ooh,",173.143,173.463
that's,173.503,173.923
my,174.084,174.184
"world,",174.284,174.424
"ooh,",174.524,174.684
that's,174.744,174.925
my,175.005,175.265
world,175.345,175.465
Thank,270.82,271.061
you.,271.161,271.522
