word,start_time,end_time
There's,2.343,4.484
a,5.125,5.365
revolution,5.445,6.446
going,6.506,6.846
around.,6.906,8.267
Maxcoin,8.327,9.308
is,9.568,9.608
inbound.,9.628,10.709
You're,11.169,11.389
in,11.449,11.549
"debtor,",11.589,11.889
don't,11.929,12.17
you,12.19,12.31
get,12.35,12.53
it?,12.57,12.69
Been,12.71,12.89
around,12.93,13.39
town.,13.49,13.791
If,13.891,13.991
you're,14.031,14.331
in,14.431,14.531
"debtor,",14.591,14.851
don't,14.871,15.092
you,15.132,15.252
let,15.292,15.432
it,15.492,15.572
get,15.592,15.792
you,15.812,15.952
from,16.012,16.332
town.,16.472,16.813
There's,17.053,17.233
a,17.313,17.413
"revolution,",17.453,18.114
you,18.154,18.334
wanna,18.374,18.714
join?,18.754,19.254
Start,19.735,20.235
a,20.295,20.375
grip,20.435,20.695
on,20.755,20.855
Bitcoin.,20.915,22.296
You're,22.637,22.977
just,22.997,23.177
in,23.277,23.357
"debtor,",23.417,23.697
don't,23.717,23.937
you,23.957,24.058
get,24.098,24.298
it?,24.358,24.418
Won't,24.458,24.638
forget,24.678,25.078
it,25.118,25.218
if,25.278,25.358
you,25.398,25.559
let,25.599,25.779
it,25.839,25.919
rip,25.959,26.259
this,26.319,26.579
year.,26.739,27.14
I'm,31.544,31.604
not,31.624,31.684
going,31.724,31.884
to,31.924,32.045
do,32.085,32.165
it.,32.185,32.285
There's,51.886,52.046
a,52.126,52.186
revolution,52.246,53.287
goin',53.327,53.668
"around,",53.708,55.089
Maxine,55.129,55.469
Coyne,55.529,56.109
is,56.37,56.53
in,56.61,56.91
town.,56.97,57.511
You're,57.971,58.191
in,58.251,58.371
"debtor,",58.391,58.752
don't,58.772,58.972
you,58.992,59.112
get,59.152,59.432
up,59.452,59.492
in,59.592,59.692
around,59.732,60.213
town.,60.293,60.593
And,60.893,60.993
if,61.053,61.134
you're,61.154,61.334
in,61.354,61.394
"debtor,",61.414,61.694
don't,61.714,61.914
you,61.934,62.074
get,62.094,62.395
your,62.415,62.775
funk,62.835,63.135
down.,63.295,63.595
There's,63.856,64.216
a,64.236,64.256
"revolution,",64.296,64.917
you,64.977,65.137
wanna,65.157,65.517
"join,",65.557,66.077
get,66.658,67.038
inside,67.098,67.519
and,67.559,67.659
get,67.719,67.979
some,68.239,68.499
big,68.66,69.16
fun.,69.44,69.6
You're,69.64,69.841
just,69.861,70.001
in,70.081,70.181
"debtor,",70.221,70.541
don't,70.561,70.761
you,70.781,70.861
get,70.921,71.102
"it,",71.142,71.202
don't,71.262,71.462
forget,71.482,71.882
it.,71.922,72.002
If,72.102,72.182
you're,72.222,72.523
in,72.543,72.743
"debtor,",72.763,73.063
it's,73.083,73.383
this,73.403,73.624
year.,73.664,74.004
"Now,",74.284,75.265
let,75.285,75.465
me,75.485,75.585
tell,75.625,75.785
you,75.805,75.985
in,76.266,76.366
a,76.446,76.526
way,76.546,76.706
that,76.746,76.886
none,76.906,77.066
of,77.166,77.246
us,77.327,77.407
could.,77.487,77.747
I,78.439,78.499
just,78.539,78.72
wanna,78.76,78.88
be,78.9,79.041
with,79.061,79.221
you.,79.261,79.381
