word,start_time,end_time
Are,0.189,0.289
you,0.329,0.49
aware,0.55,0.85
that,0.91,1.051
Casey,1.131,1.491
"Rodemore,",1.531,2.132
the,2.172,2.252
inventor,2.292,2.713
behind,2.753,3.094
"ordinals,",3.194,3.614
made,3.755,3.955
the,3.995,4.075
first,4.115,4.356
inscription,4.416,4.936
on,4.996,5.057
December,5.117,6.939
"14,",0.0,0.0
2022?,0.0,0.0
One,8.261,8.362
of,8.402,8.442
my,8.502,8.662
amulets,8.802,9.203
bears,9.323,9.683
that,9.764,9.944
very,10.024,10.264
mark.,10.304,10.565
Do,11.466,11.586
you,11.626,11.727
know,11.767,11.887
which,11.927,12.067
one?,12.187,12.267
