word,start_time,end_time
Real,0.189,0.39
pigs,0.43,0.67
can't,0.73,0.931
look,0.971,1.111
up,1.151,1.231
at,1.271,1.311
the,1.352,1.432
sky,1.472,1.692
because,1.732,1.953
of,1.973,2.033
the,2.073,2.133
way,2.173,2.253
our,2.293,2.373
necks,2.414,2.614
are,2.654,2.734
built.,2.754,2.975
But,3.836,3.956
since,3.996,4.177
I'm,4.217,4.337
a,4.357,4.377
digital,4.417,4.758
"pig,",4.778,5.018
I,5.8,5.86
can,5.9,6.0
see,6.04,6.14
the,6.161,6.221
stars,6.261,6.541
whenever,6.581,6.882
I,6.922,6.962
want.,7.022,7.223
