word,start_time,end_time
I'm,0.329,0.51
"nobody,",0.59,1.19
who,1.651,1.791
are,1.911,2.031
you?,2.071,2.292
Are,3.092,3.213
you,3.253,3.453
nobody,3.593,4.114
too?,4.214,4.494
Then,4.514,5.555
there's,5.595,5.796
a,5.856,5.896
pair,5.956,6.256
of,6.316,6.416
"us,",6.516,6.737
don't,6.917,7.177
"tell,",7.337,7.698
they,7.918,8.078
would,8.118,8.278
banish,8.358,8.699
"us,",8.799,8.939
you,9.059,9.179
know.,9.219,9.4
How,9.42,10.821
dreary,10.921,11.502
to,11.642,11.782
be,11.822,11.962
"somebody,",12.063,12.663
how,13.424,13.584
"public,",13.724,14.265
like,14.585,14.786
a,14.826,14.846
"frog,",14.946,15.246
To,16.027,16.167
tell,16.307,16.668
your,16.728,16.948
name,17.068,17.369
to,17.429,17.569
live,17.629,17.829
long,17.869,18.089
"day,",18.149,18.43
to,18.73,18.91
an,18.99,19.07
admiring,19.151,19.731
bog.,19.871,20.052
