word,start_time,end_time
For,3.571,4.391
anyone,4.451,5.772
who's,10.315,10.975
ever,11.055,11.255
suffered,11.375,11.775
the,11.795,11.915
incompetence,11.955,12.536
of,12.596,12.656
a,12.736,12.776
bank,12.816,13.156
or,13.276,13.416
bristled,13.496,14.077
at,14.097,14.137
bringing,14.177,14.497
his,14.537,14.657
boss,14.697,14.917
a,15.017,15.137
second,15.197,15.457
"money,",15.517,15.817
the,15.918,16.318
promise,16.338,16.758
of,16.878,17.018
Bitcoin,17.058,17.638
is,17.799,17.919
a,18.019,18.059
kind,18.099,18.399
of,18.559,18.679
holy,18.739,18.919
grail,18.979,19.479
of,19.579,19.62
payment.,19.66,20.06
Bitcoin,40.976,41.397
is,41.437,41.497
a,41.577,41.697
digital,41.737,42.198
virtual,42.258,42.719
online,42.819,43.179
currency,43.22,43.72
created,43.74,44.241
back,44.602,44.882
in,44.962,45.022
2009,0.0,0.0
by,45.082,45.242
a,45.323,45.403
Japanese,45.423,45.823
hacker.,45.863,46.104
B-B-Bitcoins,71.451,72.333
are,72.554,72.694
blooming!,72.714,73.276
about,106.598,106.838
those,106.898,107.099
totally,107.159,107.639
"unregulated,",107.739,108.44
totally,108.48,109.101
anonymous...,109.161,109.702
