word,start_time,end_time
We'll,0.129,0.389
"see,",0.469,0.829
we'll,0.869,1.81
"see,",1.87,2.59
we'll,2.91,3.31
see,3.35,3.81
what's,4.05,4.331
ahead,4.571,9.052
We'll,9.172,9.933
see,9.953,10.373
universe,11.213,14.294
We'll,14.914,15.355
see,15.375,15.715
what's,15.795,16.175
ahead,16.375,19.296
We'll,19.356,20.336
see,20.356,20.617
universe,21.157,21.957
As,23.458,24.018
we,24.138,24.438
float,24.478,25.618
away,25.738,26.639
Through,31.704,32.264
the,32.324,32.604
milky,32.684,34.525
way,34.745,36.046
And,36.446,37.006
the,38.307,38.847
stars,39.027,40.148
they,40.928,41.228
play,41.328,42.789
To,45.03,45.57
our,45.77,45.91
mental,45.97,47.691
fantasy,48.091,49.392
