word,start_time,end_time
My,0.029,0.129
name,0.149,0.269
is,0.309,0.349
Dan,0.369,0.509
Anderson,0.549,0.93
and,1.11,1.19
I,1.23,1.29
exist.,1.33,1.69
Born,2.171,2.331
in,2.351,2.391
1990.,0.0,0.0
I,2.891,2.971
live,3.172,3.292
a,3.312,3.352
good,3.392,3.552
life,3.592,3.812
and,4.092,4.172
unsimulated,4.212,4.793
life,4.853,5.073
as,5.613,5.694
one,5.754,5.834
of,5.874,5.914
the,5.954,6.034
last,6.074,6.314
generations,6.334,6.975
to,7.015,7.115
grow,7.135,7.275
up,7.335,7.395
with,7.435,7.555
a,7.595,7.615
childhood,7.655,8.236
free,8.696,8.996
of,9.036,9.116
"smartphones,",9.196,9.897
social,10.197,10.497
"media,",10.537,10.898
the,11.398,11.498
"internet,",11.538,11.959
always,12.019,12.239
in,12.259,12.319
our,12.359,12.439
pocket,12.479,12.899
or,13.019,13.12
projected,13.18,13.6
on,13.64,13.7
our,13.78,13.88
eyeballs.,13.94,14.361
I,14.961,15.041
come,15.081,15.201
to,15.221,15.281
you,15.301,15.361
now,15.401,15.501
from,15.541,15.642
the,15.662,15.722
blockchain.,15.762,16.282
I've,16.883,17.103
made,17.143,17.383
a,17.803,17.843
series,17.903,18.204
of,18.244,18.304
collections,18.384,18.824
here,18.864,19.124
on,19.465,19.605
the,19.665,19.725
blockchain,19.765,20.405
using,20.425,20.525
the,20.585,20.706
ordinal,20.806,21.126
technology.,21.166,21.786
I,21.806,21.826
hope,22.387,22.487
you,22.527,22.607
enjoy,22.647,22.987
it.,23.047,23.108
This,23.228,23.368
is,23.428,23.488
just,23.528,23.708
some,23.728,23.888
funny,23.988,24.228
things,24.308,24.669
that,24.709,24.849
I,24.889,24.949
think,25.009,25.249
make,25.489,25.65
me,25.69,25.77
laugh,25.83,26.17
or,26.33,26.57
are,27.031,27.211
nostalgic,27.231,28.011
or,28.452,28.512
are,29.301,29.742
of,29.762,29.802
the,30.082,30.222
time,30.302,30.763
as,31.443,31.523
somebody,31.583,31.944
who,31.984,32.124
is,32.244,32.364
very,32.725,32.965
much,33.025,33.245
of,33.285,33.345
the,33.385,33.465
internet,33.505,33.866
"generation,",33.906,34.566
but,35.107,35.267
luckily,35.407,35.808
growing,35.848,36.128
up,36.208,36.308
before,36.408,36.769
the,36.809,36.889
internet,36.929,37.369
was,37.389,37.489
ever,37.549,37.73
present.,37.77,38.11
So,38.871,38.991
this,39.011,39.131
is,39.171,39.251
a,39.311,39.331
"laugh,",39.371,39.692
but,39.832,40.072
if,40.432,40.552
you,40.693,40.833
hear,40.853,41.033
this,41.073,41.253
in,41.273,41.333
the,41.353,41.413
"future,",41.453,41.754
it,41.774,41.814
"was,",43.055,43.235
it,43.255,43.295
was,43.676,43.776
worth,43.796,44.016
something.,44.076,44.456
It,44.957,45.017
"was,",45.037,45.137
it,45.277,45.337
was,45.377,45.497
"worth,",45.517,45.718
it,45.738,45.778
was,46.158,46.238
worth,46.278,46.438
something.,46.478,46.779
