word,start_time,end_time
murder,0.089,0.329
in,0.349,0.409
the,0.429,0.51
streets,0.55,0.81
when,0.83,0.95
we,0.97,1.09
disagree,1.13,1.751
the,1.971,2.051
media,2.071,2.451
is,2.512,2.572
one,2.672,2.792
big,2.852,2.992
family,3.072,3.773
and,3.813,3.893
they,3.913,4.013
teach,4.033,4.173
us,4.213,4.273
self-hate,4.293,4.714
so,4.734,4.794
they,4.814,4.914
can,4.934,5.014
sell,5.034,5.294
us,5.314,5.354
remedies,5.394,5.875
hate,6.075,6.255
our,6.275,6.355
own,6.395,6.495
bodies,6.536,6.776
from,6.796,6.936
the,6.976,7.056
age,7.096,7.216
of,7.256,7.296
13,0.0,0.0
we,7.336,7.877
don't,8.177,8.277
value,8.317,8.437
art,8.497,8.578
because,8.678,8.918
that's,8.938,9.078
intimacy,9.118,9.839
with,10.059,10.179
our,10.239,10.319
own,10.339,10.459
souls,10.52,10.8
and,10.84,10.9
we'd,10.92,11.04
rather,11.08,11.32
not,11.36,11.5
see,11.561,11.861
truly,12.081,12.381
there's,12.401,12.642
only,12.682,12.842
one,12.922,13.022
way,13.062,13.222
to,13.282,13.362
be,13.382,13.482
freed,13.563,14.023
meditate,14.103,14.584
and,14.804,14.884
love,14.924,15.044
everything,15.124,15.424
you,15.444,15.545
see,15.585,15.865
we,16.045,16.145
can,16.165,16.245
change,16.265,16.445
the,16.465,16.546
world,16.566,16.806
if,16.846,16.906
we,16.926,17.006
change,17.046,17.226
internally,17.266,17.787
if,17.967,18.007
you,18.027,18.147
control,18.167,18.427
your,18.447,18.548
thoughts,18.568,18.788
and,18.828,18.888
you,18.908,18.988
control,19.008,19.268
reality,19.308,19.849
know,20.089,20.209
you're,20.229,20.389
on,20.409,20.469
the,20.489,20.55
path,20.59,20.87
synchronicities,20.89,21.791
follow,22.051,22.271
Carl,22.291,22.511
Jung,22.552,22.712
and,22.732,22.792
his,22.832,22.932
psychology,22.952,23.793
pull,24.053,24.213
each,24.253,24.353
other,24.393,24.574
up,24.654,24.754
when,24.794,24.914
our,24.954,25.054
ignorance,25.114,25.494
bleeds,25.555,25.855
