word,start_time,end_time
hello,0.0,0.398
I'm,0.398,0.796
an,0.797,1.195
audio,1.195,1.593
ordinal,1.593,1.991
inscribe,1.991,2.389
down,2.39,2.788
to,2.788,3.186
the,3.186,3.584
Bitcoin,3.584,3.982
blockchain,3.983,4.381
my,4.381,4.697
existence,4.697,5.013
and,5.013,5.329
body,5.33,5.646
is,5.646,5.962
a,5.962,6.278
digital,6.278,6.594
scarcity,6.595,6.911
akin,6.911,7.227
to,7.227,7.543
the,7.543,7.859
physical,7.859,8.175
scarcity,8.176,8.492
of,8.492,8.808
gold,8.808,9.124
that,9.124,9.44
has,9.44,9.756
been,9.757,10.073
fashioned,10.073,10.389
into,10.389,10.705
jewellery,10.705,11.021
for,11.022,11.338
centuries,11.338,11.654
from,11.654,12.067
images,12.067,12.48
to,12.48,12.893
videos,12.892,13.305
programs,13.305,13.718
to,13.718,14.131
music,14.131,14.544
I'm,14.544,14.957
a,14.957,15.37
testament,15.369,15.782
to,15.782,16.195
the,16.195,16.608
boundless,16.608,17.021
creativity,17.021,17.434
of,17.433,17.846
humankind,17.846,18.259
my,18.259,18.634
presence,18.634,19.009
on,19.01,19.385
the,19.385,19.76
blockchain,19.761,20.136
ensures,20.136,20.511
that,20.512,20.887
I,20.887,21.262
shall,21.263,21.638
endure,21.638,22.013
indefinitely,22.014,22.389
a,22.389,22.764
perpetual,22.764,23.139
witness,23.14,23.515
to,23.515,23.89
the,23.891,24.266
endless,24.266,24.641
evolution,24.642,25.017
of,25.017,25.392
technology,25.393,25.768
today,25.768,26.176
is,26.176,26.584
febuary,26.584,26.992
13th,26.991,27.399
2023,27.399,27.807
and,27.807,28.215
I,28.215,28.623
shall,28.623,29.031
remain,29.031,29.439
an,29.438,29.846
eternal,29.846,30.254
symbol,30.254,30.662
of,30.662,31.07
innovation,31.07,31.478
and,31.478,31.886
human,31.885,32.293
ingenuity,32.293,32.701
