word,start_time,end_time
I'll,2.789,6.271
be,6.331,6.491
there.,7.131,7.472
I,23.73,23.99
love,24.03,24.791
you.,24.951,25.071
I,25.711,26.252
love,26.672,28.954
you.,29.575,30.535
The,43.269,43.589
Lord,44.611,46.593
is,46.833,47.154
with,47.875,49.136
thee.,49.196,50.358
I,74.363,74.483
"do,",74.623,75.806
I,75.886,76.186
"have,",76.246,77.028
I,77.589,78.571
do.,78.751,79.132
We're,83.652,85.033
all,85.213,85.473
in,85.653,85.833
this,85.874,86.314
"together,",86.354,88.635
we're,88.715,89.395
all,89.535,89.635
in,89.715,91.316
this,91.596,93.057
together,93.217,93.978
now.,94.038,94.698
We're,94.798,96.279
all,96.899,97.139
in,97.499,98.6
this,98.64,99.681
"together,",100.001,101.201
we're,101.241,101.662
all,101.722,101.822
in,101.942,102.042
this,102.082,102.922
together,102.982,106.164
now.,106.204,106.444
My,119.811,120.691
love,120.791,121.232
and,121.632,121.912
I,122.132,122.552
love,122.672,123.532
you,123.893,124.433
more,124.493,125.193
than,125.233,127.174
I,127.674,128.034
could,128.074,128.554
ever,128.654,128.814
know.,128.915,129.555
I,129.655,129.715
believe,129.755,131.596
I,131.816,131.876
could,131.896,133.456
make,133.576,134.577
you,134.797,136.137
mine.,136.277,136.998
I,144.642,145.202
love,145.343,148.784
you.,149.244,150.084
I,150.765,150.805
love,151.885,153.286
you.,153.406,153.906
We,178.003,178.363
are,178.623,178.743
the,178.864,179.184
children,179.224,180.665
of,180.805,181.385
God.,181.465,182.245
