word,start_time,end_time
Did,0.19,0.35
you,0.37,0.47
know,0.51,0.651
that,0.691,0.811
pigs,0.891,1.152
are,1.192,1.293
among,1.333,1.553
the,1.593,1.694
smartest,1.754,2.275
creatures,2.416,2.797
on,2.877,2.957
the,2.997,3.098
planet?,3.138,3.479
Some,4.04,4.281
scientists,4.341,4.862
even,4.963,5.183
say,5.244,5.464
we're,5.524,5.665
brighter,5.725,6.026
than,6.066,6.206
dogs.,6.246,6.627
Just,7.41,7.59
look,7.63,7.811
at,7.851,7.911
me.,7.951,8.051
I'm,8.573,8.733
living,8.874,9.255
proof!,9.415,9.736
