word,start_time,end_time
My,0.399,0.559
fellow,0.619,0.96
"Americans,",1.02,1.66
I,2.061,2.101
would,2.121,2.281
once,2.401,2.601
again,2.661,2.942
like,2.982,3.162
to,3.202,3.282
say,3.362,3.582
that,3.642,3.762
I,3.782,3.802
did,3.862,3.983
not,4.023,4.163
have,4.223,4.383
sexual,4.443,4.883
relations,4.944,5.464
with,5.524,5.704
that,5.764,5.944
woman.,6.005,6.365
I,6.785,6.845
"did,",6.905,7.126
"however,",7.166,7.626
go,7.726,7.886
to,7.926,8.006
iFreeClub.com,8.267,10.068
where,10.249,10.449
they,10.469,10.609
offer,10.709,10.989
hundreds,11.089,11.49
of,11.55,11.59
free,11.67,11.89
products.,11.95,12.431
