word,start_time,end_time
Not,1.406,1.606
in,1.726,1.846
generations,1.886,2.646
has,2.706,2.807
Wall,2.847,3.067
Street,3.087,3.347
absorbed,3.427,3.907
the,3.927,4.047
number,4.087,4.267
of,4.287,4.427
body,4.507,4.867
blows,4.887,5.167
it,5.247,5.327
took,5.367,5.587
today.,5.607,5.887
The,6.288,6.428
world,6.468,6.768
has,6.808,6.988
gone,7.048,7.268
mad,7.368,7.688
and,7.828,7.928
the,7.948,8.108
system,8.248,8.468
is,10.329,10.469
broken.,10.489,10.789
The,10.829,10.949
American,11.049,11.849
financial,11.909,12.47
system,12.51,12.87
is,12.97,13.11
rocked,13.25,13.59
to,13.63,13.79
its,13.87,13.99
foundation,14.05,14.73
as,14.87,15.05
top,15.17,15.451
Wall,15.511,15.711
Street,15.731,16.031
institutions,16.111,16.891
topple,16.951,17.371
under,17.431,17.691
a,17.751,17.871
mountain,17.911,18.291
of,18.371,18.471
debt.,18.531,19.212
Bailed,19.292,19.532
out,19.692,19.852
by,19.892,20.012
the,20.032,20.112
taxpayers.,20.132,20.772
It's,20.892,21.072
pretty,21.352,21.752
clear,21.813,22.173
they,22.233,22.433
cannot,22.553,22.993
accept,23.013,23.233
He,30.455,30.555
"said,",30.595,30.975
your,31.516,31.656
problem,31.716,32.356
is,32.756,32.816
that,32.876,33.076
you're,33.116,33.237
trying,33.257,33.537
to,33.557,33.597
understand,33.617,34.117
this,34.137,34.257
as,34.357,34.437
an,34.557,34.597
economic,34.617,35.178
story.,35.218,35.698
Once,36.839,36.959
you,36.999,37.139
look,37.159,37.279
at,37.359,37.439
it,37.459,37.499
as,37.519,37.559
a,37.579,37.599
crime,37.719,38.079
"story,",38.099,38.579
you'll,39.18,39.62
get,40.1,44.002
it.,45.223,45.503
The,46.664,46.984
Fed,47.064,47.384
is,47.504,47.624
losing,47.704,48.005
control,48.045,48.605
once,48.685,49.265
again.,49.606,51.346
In,51.447,51.867
just,51.927,52.127
a,53.268,53.408
couple,53.448,53.728
of,53.808,54.068
"days,",54.128,54.408
the,54.508,54.628
U.S.,54.728,54.808
Federal,54.888,55.149
Reserve,55.169,55.509
has,55.589,55.689
pumped,55.889,56.629
out,56.749,56.869
$125,0.0,0.0
billion.,56.93,57.47
Handed,60.504,60.844
that,60.864,61.024
money,61.084,61.344
over,61.444,61.604
to,61.624,62.045
Commercial,62.085,62.565
Bank,62.605,62.965
once,63.005,63.265
again.,63.285,63.585
Ha,64.125,64.305
ha,64.345,64.485
ha,66.886,67.286
ha.,68.487,68.587
Money,68.627,68.787
went,69.407,69.547
gone.,69.567,69.787
Ha,69.827,69.907
ha,70.007,70.247
ha,70.647,70.947
ha.,71.007,72.048
Money,81.571,81.891
went,81.911,82.151
gone.,82.311,82.531
Buy,89.258,89.44
Low,89.52,89.803
Sell,90.489,90.63
High,90.711,90.973
He,112.842,112.962
can't,113.002,113.202
just,113.242,113.503
keep,113.563,113.723
being,113.783,114.003
a,114.023,114.083
tool,114.123,114.283
of,114.403,114.503
the,114.523,114.644
global,114.684,115.124
financial,115.144,115.644
elite.,115.664,116.005
You,116.025,116.325
are,116.405,116.785
asking,116.905,117.546
for,117.606,117.766
the,117.826,117.986
biggest,118.026,118.487
bailout,118.567,119.007
in,119.067,119.147
the,119.187,119.247
history,119.287,119.568
of,119.608,119.708
this,119.928,120.128
country.,120.168,120.368
It,120.949,121.029
led,121.069,121.189
to,121.209,121.569
an,121.609,121.729
age,121.829,122.65
of,122.73,122.85
"populism,",122.97,123.931
a,124.151,124.271
deep,124.772,124.992
distrust,125.092,125.552
of,125.652,125.773
Wall,125.813,126.133
"Street,",126.213,126.533
and,127.654,127.734
a,127.794,127.834
near,127.874,128.234
meltdown,128.335,128.995
of,129.115,130.376
the,130.396,130.636
global,130.676,130.897
economy.,130.977,131.857
Wall,131.877,132.018
Street,132.038,132.198
became,132.278,132.538
international.,133.058,134.179
Uh,139.964,140.084
"huh,",140.144,140.344
uh,140.584,140.725
huh.,140.825,140.965
Money,170.42,170.66
markets,170.74,171.16
will,171.22,171.4
dry,171.44,171.76
up,171.84,171.94
around,172.581,172.861
the,172.901,172.981
world,173.021,173.281
by,173.321,173.461
the,173.481,173.581
end,173.641,173.721
of,173.781,173.841
the,173.861,173.961
week.,174.001,174.181
ATMs,175.182,175.842
will,175.902,176.122
stop,176.402,176.783
spitting,176.803,177.263
bills.,177.343,177.643
Federal,179.584,179.944
deposit,179.984,180.544
insurance,180.584,181.085
will,181.145,181.345
collapse.,181.485,181.905
Banks,183.225,183.586
will,183.606,183.786
close.,183.846,184.326
Moms,185.386,185.887
panic.,186.167,186.547
It's,190.693,190.874
going,191.034,191.215
to,191.256,191.356
be,191.396,191.517
the,191.557,191.658
end,191.738,191.899
of,191.939,192.0
the,192.04,192.14
world.,192.201,192.523
