word,start_time,end_time
Perhaps,0.089,0.489
I'm,0.549,0.729
"prejudiced,",0.789,1.31
but,1.77,1.91
to,1.93,2.05
me,2.09,2.25
it,2.31,2.37
seems,2.43,2.75
that,2.83,3.01
no,3.09,3.311
other,3.351,3.551
phase,3.611,3.951
of,4.011,4.071
modern,4.131,4.531
progress,4.591,5.071
can,5.572,5.732
try,5.772,6.172
to,6.232,6.332
maintain,6.372,7.032
such,7.132,7.352
a,7.412,7.452
brimming,7.552,7.933
measure,8.013,8.413
of,8.813,8.913
romance,8.973,9.513
and,9.633,9.713
beauty,9.733,10.094
coupled,10.534,10.894
with,10.934,11.094
utility,11.194,11.694
as,11.874,11.975
does,12.035,12.175
aviation.,12.295,12.795
