word,start_time,end_time
Let's,0.069,0.269
stop,0.289,0.469
feeding,0.569,0.93
the,0.95,1.01
"world,",1.07,1.43
there's,1.45,1.61
people,1.63,2.01
bleeding,2.051,2.451
in,2.511,2.571
hell.,2.631,2.951
It's,3.191,3.311
like,3.351,3.432
they're,3.472,3.612
breeding,3.632,4.092
in,4.132,4.192
hell.,4.252,4.572
Money,5.073,5.373
powers,5.413,5.753
people,5.813,6.114
like,6.154,6.254
they've,6.274,6.434
been,6.454,6.534
breeding,6.594,7.014
with,7.034,7.154
shit.,7.194,7.515
They've,7.655,7.895
been,7.915,8.015
wanting,8.055,8.255
to,8.295,8.375
dig,8.415,8.535
up,8.575,8.655
Antarctica,8.715,9.336
for,9.356,9.456
the,9.476,9.556
fossil,9.616,9.996
fuel,10.076,10.297
power,10.397,10.597
of,10.657,10.717
the,10.737,10.837
sun.,10.917,11.237
I'm,11.257,11.317
a,11.818,11.918
solar,11.938,12.278
powered,12.298,12.658
alien,12.738,12.999
through,13.039,13.199
the,13.219,13.339
sky.,13.359,13.759
"Weird,",14.22,14.42
unusual,14.46,14.84
guy,15.0,15.36
spreading,15.38,15.721
love,15.821,16.001
from,16.041,16.201
the,16.261,16.401
inside,16.481,16.982
out.,17.102,17.322
But,17.422,17.682
I,17.702,17.722
will,17.782,18.042
fight,18.122,18.403
if,18.463,18.563
I,18.683,18.783
have,18.843,19.023
to.,19.063,19.123
You've,19.143,19.483
got,19.503,19.724
your,19.764,19.884
own,20.024,20.184
"choice,",20.264,20.704
make,21.045,21.245
your,21.285,21.405
own,21.545,21.685
choice.,21.765,22.105
You've,22.125,22.486
got,22.506,22.706
your,22.746,22.886
own,23.046,23.206
"choice,",23.266,23.626
so,23.687,23.987
make,24.027,24.247
your,24.307,24.427
own,24.587,24.727
choice.,24.787,25.168
You've,25.188,25.588
got,25.628,25.808
your,25.848,25.968
own,26.128,26.268
"choice,",26.328,26.909
make,27.109,27.329
your,27.349,27.489
own,27.649,27.79
choice.,27.85,28.19
You've,28.47,28.61
got,28.65,28.79
your,28.81,28.971
own,29.131,29.291
choice,29.351,29.772
so,29.812,30.092
make,30.152,30.372
your,30.412,30.633
own,30.673,30.833
choice,30.893,31.393
