word,start_time,end_time
Squished,0.129,0.529
into,0.549,0.689
suburbs,0.709,0.969
that,0.989,1.069
don't,1.089,1.23
even,1.27,1.43
have,1.45,1.57
trees.,1.65,2.03
We,2.11,2.21
criminalise,2.23,2.71
weed,2.75,2.93
that,2.95,3.05
connects,3.07,3.311
us,3.351,3.391
spiritually.,3.411,4.011
But,4.091,4.191
legalised,4.211,4.671
alcohol,4.731,5.071
may,5.091,5.191
give,5.211,5.331
a,5.351,5.391
kid,5.411,5.612
speed.,5.652,6.012
Spreading,6.192,6.532
it,6.572,6.612
through,6.672,6.912
the,6.952,7.012
communities.,7.052,7.933
Don't,8.193,8.373
buy,8.433,8.653
into,8.733,8.933
university.,9.013,9.854
I,10.114,10.154
did,10.174,10.294
for,10.314,10.414
six,10.454,10.634
years,10.714,10.954
and,11.014,11.114
two,11.194,11.434
degrees.,11.494,11.914
It's,12.135,12.235
not,12.275,12.395
for,12.435,12.555
"learning,",12.595,12.915
it's,12.935,13.015
for,13.055,13.175
making,13.195,13.435
money.,13.475,13.915
Institutionalising,13.975,14.776
you,14.816,14.936
to,14.996,15.056
see,15.096,15.296
how,15.356,15.476
they,15.496,15.656
see.,15.716,15.976
We,16.176,16.256
all,16.276,16.397
deny,16.417,16.677
death.,16.737,16.957
Avoid,17.137,17.357
the,17.377,17.437
cemetery.,17.457,17.957
Sold,18.217,18.417
"funerals,",18.457,18.918
that's,18.938,19.098
a,19.118,19.138
real,19.178,19.298
conspiracy.,19.318,19.938
The,20.138,20.238
Matrix,20.258,20.618
is,20.658,20.739
really,20.779,21.099
a,21.139,21.159
documentary.,21.199,21.859
And,21.879,21.939
if,21.999,22.059
you,22.099,22.199
have,22.219,22.359
two,22.399,22.579
"parties,",22.639,22.94
that's,22.98,23.18
no,23.24,23.34
democracy.,23.38,23.92
Democracy?,24.16,24.68
There's,24.7,25.021
no,25.041,25.121
agree,25.161,25.361
to,25.381,25.481
disagree.,25.501,25.901
