word,start_time,end_time
I,0.646,0.726
like,0.846,1.267
to,1.567,2.148
wake,2.228,2.428
up,2.469,2.569
in,2.669,2.749
the,2.769,2.889
morning,2.909,3.209
at,3.37,3.65
"4.20,",0.0,0.0
check,4.872,5.192
coin,5.232,5.552
market,5.613,5.993
cap,6.053,7.255
"4.20,",0.0,0.0
then,7.515,7.695
I,7.755,7.835
take,7.855,7.996
a,8.096,8.116
little,8.176,8.476
nap,8.516,8.917
at,9.257,9.478
"4.20,",0.0,0.0
that's,10.138,10.459
where,10.519,10.759
Bitcoin's,10.839,11.36
at,11.46,11.56
4.20.,0.0,0.0
Can't,17.995,18.295
do,18.335,18.455
it,18.535,18.615
better,18.655,18.916
even,19.056,19.296
if,19.356,19.576
I,19.696,19.916
try,19.956,20.577
Cryptocurrency,20.617,21.558
is,21.718,21.898
now,21.958,22.218
worldwide,22.278,23.179
Banking,23.239,23.579
in,23.639,23.719
the,23.759,23.879
morning,23.899,24.239
"now,",24.279,25.6
420,0.0,0.0
Changing,25.901,26.241
on,26.321,26.481
another,26.501,26.861
"now,",26.901,27.282
420,0.0,0.0
Ain't,27.942,28.422
nothing,28.522,28.823
like,28.883,28.983
a,29.063,29.123
prison,29.163,29.503
"now,",29.523,30.424
420,0.0,0.0
Gonna,31.144,31.445
take,31.485,31.645
a,31.705,31.745
rest,31.825,32.065
"now,",32.145,32.405
420,0.0,0.0
That's,32.445,32.665
where,32.685,32.926
Bitcoin's,32.946,33.426
"at,",33.446,33.486
420,0.0,0.0
