word,start_time,end_time
"PokéBlob,",2.876,3.777
"Spike,",3.837,4.518
Zero.,4.538,4.959
The,5.099,5.339
Battle,5.439,5.72
of,5.88,6.06
Blob,6.16,7.122
has,7.182,7.282
begun.,7.362,7.823
I,21.861,21.881
am,21.921,21.981
Nero,22.022,22.222
"Sagan,",22.242,22.582
your,22.703,22.863
captain,22.883,23.163
on,23.203,23.263
this,23.283,23.384
intergalactic,23.444,23.924
voyage,23.964,24.245
through,24.265,24.485
the,24.505,24.565
Nero,24.585,24.786
realm.,24.826,25.066
Our,25.787,25.887
story,25.928,26.188
begins,26.228,26.629
in,26.709,26.789
Blob,26.809,27.049
City.,27.109,27.29
In,27.951,28.011
your,28.031,28.151
quest,28.171,28.471
to,28.552,28.632
join,28.672,28.892
the,28.912,29.012
Order,29.052,29.192
of,29.213,29.273
"Mawkeye,",29.313,29.733
you,30.094,30.154
will,30.174,30.294
inscribe,30.334,30.655
your,30.695,30.815
brain,30.835,31.095
on,31.135,31.216
the,31.236,31.296
timesheet.,31.336,31.756
You,31.796,31.917
will,31.937,32.277
participate,32.317,32.658
in,32.698,32.758
a,32.818,32.878
secret,32.898,33.018
mission.,33.038,33.399
