word,start_time,end_time
Das,0.162,0.582
"Hauptproblem,",0.622,0.982
du,1.003,1.063
wirst,1.083,1.223
schon,1.243,1.383
wieder,1.423,1.583
was,1.623,1.763
in,1.803,1.863
der,1.883,2.003
"Zukunft,",2.043,2.363
meinst,2.403,2.583
"du,",2.603,2.704
es,2.724,2.804
wird,2.824,2.984
besser?,3.004,5.145
Das,5.165,5.385
musst,5.405,5.585
du,5.605,5.745
verstehen.,5.765,6.526
Es,6.586,6.706
wird,6.726,6.966
in,7.026,7.106
der,7.146,7.306
Zukunft,7.346,7.787
nichts,7.807,8.067
besser,8.107,8.387
werden.,8.407,8.667
Wenn,8.707,8.827
es,8.847,8.947
besser,8.987,9.187
"wird,",9.207,9.328
wird,9.388,9.528
es,9.548,9.768
jetzt,9.808,10.088
besser.,10.108,10.648
Und,10.688,10.788
es,10.828,10.908
wird,10.948,11.209
jetzt,11.229,11.449
"besser,",11.489,11.709
wenn,11.729,11.869
der,11.889,11.989
Zerstörer,12.029,12.469
"weiß,",12.489,12.69
was,12.73,12.85
du,12.89,13.03
selbst,13.07,13.27
bist,13.29,13.45
und,13.49,13.57
was,13.61,13.73
deine,13.77,14.03
Gedanken,14.05,14.391
sind.,14.431,15.771
Dann,15.791,15.992
wirst,16.032,16.212
du,16.232,16.472
nie,16.512,16.672
mehr,16.712,16.912
irgendeinen,16.972,17.572
"Gedanken,",17.592,17.953
den,17.973,18.133
du,18.153,18.273
"denkst,",18.313,18.533
die,18.573,18.653
Schuld,18.693,18.913
"geben,",18.933,19.073
dass,19.093,19.213
es,19.274,19.354
so,19.374,19.494
"ist,",19.534,19.654
wie,19.674,19.794
du,19.814,19.934
in,19.954,20.034
dir,20.074,20.214
denkst.,20.254,22.015
"Die,",22.055,22.275
die,22.295,22.435
du,22.455,22.575
dir,22.596,22.816
"denkst,",22.856,24.577
die,24.597,24.717
kriegen,24.737,24.977
das,24.997,25.097
nicht,25.157,25.337
mit.,25.357,25.837
Aber,25.877,26.038
du,26.078,26.198
wirst,26.238,26.478
ganz,26.518,26.778
massiv,26.838,27.138
was,27.158,27.318
"mitbekommen,",27.338,28.019
jegliche,28.039,28.419
Form,28.479,28.659
von,28.699,28.859
Angst,28.919,29.119
oder,29.159,29.36
Wünschen,29.4,29.64
ist,29.7,29.82
weg.,29.84,29.96
Dann,30.942,31.122
kommst,31.142,31.382
du,31.402,31.462
in,31.482,31.542
die,31.582,31.642
rote,31.682,31.862
Glückseligkeit,31.902,32.563
und,32.603,32.723
jetzt,32.763,32.883
kommt,32.923,33.143
die,33.163,33.323
"Neugier,",33.343,34.363
"GEI,",34.403,34.983
der,35.003,35.123
Geist,35.163,35.424
Gottes,35.464,35.884
in,35.924,36.144
"dir,",36.184,36.724
erwacht,36.784,37.344
"jetzt,",37.384,37.984
dass,38.004,38.204
"du,",38.244,38.384
was,38.404,38.565
ist,38.605,38.725
da,38.765,38.905
noch,38.945,39.065
"alles,",39.105,39.345
du,39.385,39.665
verlagerst,39.685,40.125
den,40.145,40.285
Fokus,40.305,40.605
nicht,40.645,40.785
mehr,40.825,40.925
in,40.945,41.005
die,41.025,41.145
"Sachen,",41.185,41.445
die,41.465,41.565
"auftauchen,",41.605,42.446
sondern,42.486,42.686
in,42.786,42.946
den,43.006,43.146
Mittelpunkt,43.166,43.586
"rein,",43.646,43.826
was,43.846,44.006
ist,44.026,44.106
da,44.186,44.346
noch,44.386,44.546
alles,44.706,44.907
möglich,44.947,45.267
in,45.307,45.427
mir?,45.447,46.727
Jetzt,46.747,46.987
weißt,47.027,47.207
du,47.227,47.407
"selbst,",47.427,47.647
wenn,47.687,47.787
du,47.807,47.887
in,47.928,48.008
einem,48.048,48.148
Buch,48.188,48.308
auf,48.328,48.428
einer,48.468,48.748
Seite,48.788,49.128
"bist,",49.148,49.728
dass,49.768,49.948
da,49.968,50.128
noch,50.168,50.328
einiges,50.388,51.569
aus,51.609,51.829
dir,51.869,52.089
kommt,52.109,52.329
und,52.369,52.469
nicht,52.509,52.689
irgendwie,52.729,53.109
in,53.129,53.189
der,53.209,53.349
Zukunft,53.389,53.729
auf,53.769,53.889
dich,53.909,54.069
wartet.,54.129,54.35
"Gut,",56.65,56.97
jetzt,57.01,57.11
lassen,57.17,57.311
wir,57.351,57.411
es,57.431,57.491
gut,57.511,57.691
sein.,57.711,57.831
Drei,59.68,59.86
Stunden,59.9,60.301
zu.,60.341,60.681
Danke.,60.741,63.083
Spielen,63.123,63.383
wir,63.403,63.503
noch,63.543,63.663
eine,63.703,63.823
Runde,63.843,64.144
Leben.,64.184,66.225
"Lido,",66.265,66.545
lass,66.565,66.746
dir,66.766,66.826
einen,66.846,66.966
schönen,66.986,67.326
Namen,67.346,67.686
einfangen,67.726,68.087
dafür.,68.127,68.427
"Gut,",68.467,69.007
danke.,69.047,69.508
Ciao.,69.628,70.649
