Address,Count
bc1pv0282lvll28v9fqcqrkxapg27nj7fdc9u4sgkalz2rn2lwy0dces6nekd3,3
bc1pl8zs80r8lptwavgznh6kzhl7f7druvp2866ad04n52lrrsx95daqd7mxms,3
bc1pc60acdwgjak9d57rfgqjgdtku3r6at34mhzvprck750n9rqcsh7smlxl96,2
bc1p2dpep70538v4gulenqfgphe9zfa048g06xcd7j36sa3vgctmkufs3llsqk,3
bc1pd9zgxr03upngxzypvmxmtwt7k8mecz82etjm8p8883vjk0hejeeq908q5z,3
bc1pdmfa9yclcqjwvctmumuks9ujumj2gqryltdylcjsjwvsp20wr6vsypck7e,3
bc1p5v3mmmgucfxryu6nem4qfm2nqv99pvm52unrskryn6qu0qtdx3hqladxp9,3
bc1pwcdwre455sn0qku66wmuwr43tlj4c6t3xcceu5dq9qmwtecmvngsa3nnka,3
bc1pjx4kxfddysrmf02xz0yxnkfglzeh4fdk54rlq95plr95u5gagwcqzm88gc,3
bc1p8s58qj6mkznjhy7pc2gc53gwe73823s5nw9enxfq9qpew50jrkjs7446ef,3
bc1pmk9qq5jugwg0hx7hee2qt7l4qww630dqm6tf69xk2dw82zqzst5saqdrq3,2
bc1p5wljy5700lnhh44dfhzadhkzyj9wvxg3c0js6edplhsy0pqh79nspvyxzl,1
bc1pngswhdc2zvu0nrdt58e8lx8w2w8s4x40qlu5w62v0xv4hn4l2x3spaf8xd,1
bc1pv9tzk0qptnknlw2lhhgyghgknze4eqfmt0gmf52h6nahqggdmaqqajetan,1
bc1p8vpsk5lesev3ctav4lc9s2ymcr97fy666q6pt4xlles3npgkd78qvd92sv,14
bc1p3hhdgqvyldhcsq2tss9uythtnj3xvu0f7vrkphpk48cy20qea4kq7rkcud,3
bc1peas8kzg2fj0z8hzn9a0elf9wlg36rndgl2cz09y0r6jq3ft00jzqqfm3we,3
bc1prujqhfecldx6ea03n3xfy07zx0ecdp4pyhc8la8urlhfglsv3wystva3u6,1
bc1prlac023zwxjse64pc8txa9hjd3llllvzg672eh40rk632nr2k3usty0e0k,9
bc1p6czm4r9qyl92zk0lt0hjd4mnteejmlp3lwz0gazmsq9zmr5f2zns44kldy,1
bc1p097szec8552xt5qp4y560xse3ctxl2y9k7x9qxmyh9fxzc98sexsl8umwa,1
bc1p3q280k6s8kj5ndvztz84mmaqau7y6fmf3lpjt5k48eex7vdukwlqlt43pz,3
bc1pra86kmtnm4gk4aky4w2hv6phkqj4ryqusc06cr0vnydpuj2qr6eqt6zrek,1
bc1p0mgcfymrpcnvjdex0yq0r9xt0ffjeauxeftmewz344n7sswvxddsc47szl,3
bc1pea6ul0u7p982pj0q3xwks3tp5m5qk04m6xggcauygge9f937ft0qkpw804,3
bc1pqt2pyay63vrr2cesj74rs3twcqkdedzj6kaj3gsx8r8cyyyjqk7sysgt68,3
bc1p52c6r00l27nnaw5893uu7xprzedjyvxqq5g2vt9mz08m68dfngcq9tm2nh,3
bc1p0tnzlgzhzln7d4zpfqw9jmt4ncnkamunmm39kh33w9n2mj6l9nsq4duw9u,2
bc1p4c8nnftvmarysfc74zvlw8lsdmt8kksp8ck6kgnjlx9zm55ppslqqxdskw,1
bc1pcmces39gn8lp6gyfu0a5xlnq66dgmwyrcv3wm2xym7y2nrve7r0qz30p7t,3
bc1pg5lq5cn3gfjyf9jugcu9vv9td04thcd2zy9dejus0jqzaq5udlyqres4ay,3
bc1qdfurks2zmnleymyy47m0lwgcxhnnd653k4nav3,1
bc1pdwr07lzr4lt38jwkdnn9e9595mu6naptspecylpu3rrj7rnlsy2srkusvw,3
bc1p976u25qkn0uxa7gcp8dufzjrl4zegfsrgex0h4vkqqkdtf2dvnvqd7kq9g,3
bc1pzv0tqthslzldnpdwmf4esz9tqvvrzm7gqxe53fnta7l7vud80w4qevh8gf,1
bc1p5pjs6qk2m4a9yccyga9njytqm9xlc9j766a4tc68fc450ykel58qkf0u9s,2
bc1p95tf5ja57yydfuwl3vz4x0m97625w4x2t7863yraw6q6wnxpuyrsprqy9w,3
bc1pc4pmpcp0udr2wlmqxn7mf89t2zt5gs60mtndh5w6e7wcv8v4ut8qlh3fy5,3
bc1pzkfk7kt6jvwypk8r6q2kp5cz53x66vq575eewg3k7tlw6q95tdeqtz092n,3
bc1pmcluw8y5xrcazkurwvaeg9h2khv06n5cd7d4wqjwsjrx2hhcrzcsa89h8f,3
bc1pr9a9k6wcemsntd9ttenejw8n8rzq0428z9w74xph4e48wthhu9ssynlz73,2
bc1pemmv4sswsvy6p9mcltwxftpegjnes277mavjyja77jauejy8nklqhsajfd,2
bc1pjcwgw9qddmf8zquqtezfntpmm8e0z5xyqfux5js0gyaus46m7wdsg0z46k,1
bc1pv2ku3t3fc0zgnpuklphu55mgfsc0vtz0kvdgh48k0umyhv8pk9tsr3dwe8,1
bc1plcmscq3jv4mtse4ey9ydnfyzlfn3ytsswrnkqm5kzszry8lpsj4qdw9llg,1
bc1pk4gypf6mtgk703wct83n8p5r6vuennzl8ypqhnxdlucwd529t00sz7m4kg,1
bc1pkst4qlxvuplpmflwv2chkd2my3z4lnwgc8p2s978yfm8y47pq9ysh3q7zn,3
bc1pw9fpy7zg6j07e6ls0ne8l3637xa624n5wg48ztzfcfafx647y7uq3nxffz,3
bc1p8mtpc3jkk8e659wgqra2uxnznl9xvgelehjjnd2wut4d9ynm7lwqgxrtmh,3
bc1p07csrnzmfapw3k5sw0yhlf8dznu27h7admcc29hnyqs8jlfd2l3s3g9gsj,2
bc1pu4q05p95pzs9rw6ccvdfxzlstvduhgqz8l5kvy9py8v790mkuwasky7er5,3
bc1ptw97u6gwc9t8pfxfv85753svs8rtdr5vgzrt32yw0e255xufkqrslj8qw7,3
bc1p96pk67e5wrada9svtu0runjx3ultw48gl3qrl5zgfuh03ev6v54sr366tk,3
bc1ptf3v8ld0tacecv3p9mprgyjjl5t9m8dkmdlrj5v9p9ql99apdk7sgpsrun,3
bc1pr36e85uzcyky0uc04jt0ar3v8wq2twl6f0nel4d50azkv985qfpsg6yh5m,3
bc1pmyxpx0cwr7v5eh55dkehteqzl6v97czss5740qfwegtxv9kawtesdty8my,2
bc1qw8w0pe88jgfg6lgn98r6ux6dm7u9a7vp23fxpe,1
bc1q0yahprlt0tceg5e7pvr35e06yc96qsgqv9fdqu,1
