Address,Count
bc1p83d8hm0626njfhfu4sg8pvzwsymq48twyjte8qyk6wfktflvjt5s447h4h,2
bc1p8vpsk5lesev3ctav4lc9s2ymcr97fy666q6pt4xlles3npgkd78qvd92sv,20
bc1p3x8q399ly4gtr2e4zyssyhv49yqdvwkmwcm2aaghhes7xv0nxwpsh35apr,2
bc1pkxxfqagrf4dr4h2zv42pjuy0dva034vxu40emrngzs7we9gagtvqfzktru,1
bc1ps85mvamyf53d3s0g94a8gehgzy68h2h40a6uhcucjyexsz8zyhqs52t4n8,1
bc1qrwgmfurtvt0qz7gnx0c0xt4tp04qunyterdxzj,2
bc1p8sjfz3t950zgdtstvdllz83ye5lstmzs45l83g78wtu2tl39wg5sxzdr3j,3
bc1pyy2q79ars048twqj29ae8lzcgyflxd8mzrlpjgelfacea05n3qssf0ekce,2
bc1prt0mdu6fj7gg8uvugq88jxdhcc0z2d8w902y59amd0jgcszetkdqvaytr8,1
bc1pknrs6ykm6f4nygxgysl8lwnjhzxtq0eff8zrhemurvka2ydcxjms0dlqxy,3
bc1panqscu5tj5nlwam3urcadnrgpgs343tdt0hulfl50myt27uy7hyq42zwdu,3
bc1p0g96aewwz5a70delmuhcgt4q48f8z5hw6sg4rfnnl4q9saazv06q3qek73,1
bc1pnk0e09ej6p37aftvvnlauvjq6u8u3ey7qlvpjcmrqkvqy5cnjqqskf8ey6,1
bc1pyu55q6yhr0crluu550dwglw4ky2h4qthv8tnp6nytqdfflzc6lssc6zahx,3
bc1pghggqjkqdulwxmah0a0auzzg723jyrve3a0tukmqth55es8z3xxsdxcjse,1
bc1p9g76nxn8sg09ym4v8865ny8qshx2x2c3det390nxgtgy46wetn0q3nl2gy,2
bc1p00kfmdw8crdgg5ywntehluua8edzmcfvtn0sn58lel42r8zqx2ds00zcqh,3
bc1p2j77npqlfn3pru0l7js2y7896q9cxpxtwshle4t98dfleeg8nvfqsveun2,3
bc1p976u25qkn0uxa7gcp8dufzjrl4zegfsrgex0h4vkqqkdtf2dvnvqd7kq9g,1
bc1phrx4fl7yazut588dqd47a4hyrmr5mhzrmcndr7z9hgzrlw0snq3srz8pg0,4
bc1prlac023zwxjse64pc8txa9hjd3llllvzg672eh40rk632nr2k3usty0e0k,13
bc1pm2xrt0we4sxraa5md6uz9jcw3txg0u2ka369cv7mmlevv54np88sppjnfk,1
bc1p097szec8552xt5qp4y560xse3ctxl2y9k7x9qxmyh9fxzc98sexsl8umwa,1
bc1p77wrhdkyh5g77rjwnwe8epppvntajukk69ghv07t79hm7xpuldaq04rj6a,1
bc1pflae8qqx33lfesay5gwqj5scg6r2hz5tqka6wwjx45entfnpmueqqccmv5,3
bc1pmaaa2ghqmmq4pc98ntp0ys8uuc9ze4a2upn653u2xneurf0e872q5mupf8,1
bc1pc4pmpcp0udr2wlmqxn7mf89t2zt5gs60mtndh5w6e7wcv8v4ut8qlh3fy5,3
bc1p8tjvun0d5qp29m0ymt4glagk0y6lu7ps5kcf04yncxcxm2je4hrszzddu9,1
bc1pc236p9lwkgq9va4thqzcnhutkxs4njwwmq2skg6taculzfnl4f3sa34ys9,3
bc1q4t8jum76y6c3q3vf876jzcy8dyw0gmepp5gfrq,1
bc1pl9e54gfdewta237cjpyz2fxexajs8znm99n2v0zdhgzacwnczrsqwxea4y,1
bc1phnfkgqjh66hm049hd7ypxysr6udd7nfff3t8vywe2qtwkem7d4esmv6la3,1
bc1pkg800p0et758xfwyt3rxpxmxykwhvfrcxqq8g7d2v4gdx5kmvcus6zxexg,3
bc1pr2yfh8mmphh8xamwmmag4ewjfpzwfghrqyy5qlxu3dwc03t3kufq055ytc,7
bc1pfyeygh8dd44974x74qwm9d5xgd5avrckvakphqsqdtdgjmcp266szlhjw0,3
bc1p5em2fja450dhxmcpcl79nnkp5qqs7gprhetsu6jgv2mjlhwecmwq5yv26x,2
bc1pnaehtdh78q4lrd5hh0ukvuwj8pe74huk5srv9r7n6d2xzx4aj2rslhkzau,15
bc1pddc9rhm3lgezxp5hwqedjmn4h52ck9pqsygp5c89f0qxa63awezq0e6ml9,3
bc1pzjzvq5x2tt4273t07q6musfzctay00r5lf3nk62rvcz8ykq9a52sdcw5f4,1
bc1psj929rr4ctdcp6nz074yr4tfcjqtrjtqlrach9n5auxy08pf2dtsp2n0yv,1
bc1pqt2pyay63vrr2cesj74rs3twcqkdedzj6kaj3gsx8r8cyyyjqk7sysgt68,2
bc1pm3mjmfdxgsv8558a2wvr0an3zwxhtj5rydpwr75thyzg2mklmscqyfv4d9,3
bc1pt7a5h0k067pgpq80w6pmspm3v0lasnc8ahv66xrzn8pnq9gtmgvsvm8046,1
bc1phn0ahkr07vargwrhr2zh6wnccknhdpx6mk3cfcqmn8tnugat7z4sg2ssyf,3
bc1pl8zs80r8lptwavgznh6kzhl7f7druvp2866ad04n52lrrsx95daqd7mxms,3
bc1pq37u79fqmptd89c7uhc7eklgp32z45la8w97szq76aeleuq3rn8qp99294,2
bc1pxquhq3f3ahalnc34a0ddmvet87laa4qpyx5mge4sd76rhwm8ueys4t5cft,1
bc1ps6gw6fexe9uqwstumgh5r009sgs65n4qyqucdwyrcxjr2hw5903q4ntd8w,1
bc1pym735y4l220duulu4qqn5e2ztj6ceaka0840hvfu6uc26z0z8ksqd458u4,2
bc1pcmces39gn8lp6gyfu0a5xlnq66dgmwyrcv3wm2xym7y2nrve7r0qz30p7t,2
bc1pesnpe88ncm6u2fa5d9hu5wl7ugnd703g0xw8cuntkvm0wtpmzm3svc8kpj,1
bc1q9fu6wfrxfqzqxa4yf4q7l98u2l8h8gwcaq7jxx,7
bc1p2027ttclltcz3fu9rx7k443t6tf622phj6kjx8yeryh0gn55gjzsa8qk0r,1
bc1qzhfmkpl2ht25pear73fdq5qfxt6yjeann7p9t9,1
bc1pf5kj76kaaf5gqpn8jefx88drc6yhdd7n4yqc7qcnltm92lzw2p7suc3x6q,2
bc1pc60acdwgjak9d57rfgqjgdtku3r6at34mhzvprck750n9rqcsh7smlxl96,1
bc1p3q280k6s8kj5ndvztz84mmaqau7y6fmf3lpjt5k48eex7vdukwlqlt43pz,3
bc1qkpctdkrjgesge5x7h3jxfvprj7mjkp402x7esx,2
bc1pmk9qq5jugwg0hx7hee2qt7l4qww630dqm6tf69xk2dw82zqzst5saqdrq3,2
bc1prh38mmjz38m8n47gwsx4cgr3j5m7dtuf5qyxe2tddcdr6zjuy6rquf6ru8,2
bc1pr0346v58833smacu6ck9d9cuch9y0k9c8ghxdltwfdrx80gtwgxqqgcujt,3
bc1p8s58qj6mkznjhy7pc2gc53gwe73823s5nw9enxfq9qpew50jrkjs7446ef,2
bc1p5p453vd0cp4maa2vsk0def2qt9sfkpuul49yphhspv5sugcmg0gq87txjd,2
bc1qz67twn4p9q5uuzne8xzxc7wn638sapm256jfzs,1
bc1pp7kdx2f9hv4gkslt4p5x678c0jza726pnyp6npnlu957fme952psklnpmz,1
bc1pt27p6t8mh0wsus7tz3rnwdeyzezd37megumr4ns2t47rxxg37tcsdslaad,2
